Gene_Id_189,ABEN_Rep1,ABEN_Rep2,ABEN_Rep3,EN_Rep1,EN_Rep2,EN_Rep3
Glyma01g06060,4.04992,4.51276,5.82881,8.23328,6.80641,7.32764
Glyma01g06080,1.81428,11.222,5.27536,6.41073,12.7995,6.88086
Glyma01g06091,0.886506,1.07563,1.4129,0.99806,0.826711,1.27483
Glyma01g06101,0.0490575,0.0375923,0.216391,0.0697602,0.0286799,0.0887448
Glyma01g06110,0.187745,0.00133948,0.183353,0.226092,0.0023065,0.0651214
Glyma01g06121,0.0330484,0.0653048,0.0782873,0.10054,0.330953,0.209375
Glyma01g06131,0.195663,0.191325,0.094063,0.0593772,0.0539777,0.0478332
Glyma01g06140,0,0,0,0,0,0
Glyma01g06150,0,0.000171189,5.15E-05,0,0,0
Glyma01g06170,2.5878,2.08943,2.78044,0.000756359,0.000313946,3.19714
Glyma01g06181,0,0,0,0,0,0
Glyma01g06192,0,0.0388196,0.0580492,0,0,0.103217
Glyma01g06203,0,0.18783,0.0326036,0,0,0
Glyma01g06214,0.0250553,0.0273067,0.00208906,0.0111845,0.00742464,0.00160346
Glyma01g06226,0.0130858,0.0497583,0,0.00565527,0.00437344,0.0368997
Glyma01g06238,0,0,0.00688871,0,0,0.0159302
Glyma01g06250,0,0,0,0,0,0
Glyma01g06255,0,0,0,0,0,0
Glyma01g06260,4.20249,2.89451,3.8899,6.83973,7.97731,5.94854
Glyma01g06265,0.290572,0.260127,0.361326,0.237886,0.210427,0.371211
Glyma01g06270,12.2711,10.2746,9.66439,12.9392,8.02909,9.29911
Glyma01g06281,1.33348,4.80E-05,1.86E-05,0,4.82E-05,0.000353467
Glyma01g06290,6.74664,6.11469,7.32913,5.71188,5.29749,7.49292
Glyma01g06300,2.11416,2.38253,2.20987,1.46016,1.42344,1.50567
Glyma01g06320,9.02936,9.44942,9.71871,9.23423,8.87089,9.6133
Glyma01g06330,0.193532,0.330318,0.203403,0.153197,0.205308,0.102022
Glyma01g06350,0.44532,0.827323,0.457784,0.542864,0.519372,0.409284
Glyma01g06370,1.21473,1.42844,1.37008,1.69064,2.28153,2.87253
Glyma01g06380,1.9925,1.96931,6.82E-05,0.000244144,5.87462,0
Glyma01g06403,0.132653,0.108364,0.109823,0.149159,0.133437,0.137903
Glyma01g06426,0.0276154,0.0622414,0.0837802,0.0326354,0.0165557,0.0397485
Glyma01g06450,2.86157,3.88392,4.08183,5.04081,5.38575,5.90978
Glyma01g06465,0.0923761,0.269335,0.122936,0.00848084,0.23256,0.381112
Glyma01g06480,1.79638,0.736691,0.921969,1.02913,0.929114,0.815209
